,year,category,date_awarded,prize_amount,prize_amount_adjusted,top_motivation,laureate_id,motivation,portion
566,1981,Chemistry,1981-10-19,1000000,3704688,,258,"for their theories, developed independently, concerning the course of chemical reactions",1/2
567,1981,Economic Sciences,1981-10-13,1000000,3704688,,695,"for his analysis of financial markets and their relations to expenditure decisions, employment, production and prices",1
568,1981,Literature,1981-10-15,1000000,3704688,,658,"for writings marked by a broad outlook, a wealth of ideas and artistic power",1
569,1981,Peace,1981-10-14,1000000,3704688,,515,for promoting the fundamental rights of refugees,1
570,1981,Physics,1981-10-19,1000000,3704688,,118,for their contribution to the development of laser spectroscopy,1/4
571,1981,Physics,1981-10-19,1000000,3704688,,119,for their contribution to the development of laser spectroscopy,1/4
572,1981,Physics,1981-10-19,1000000,3704688,,120,for his contribution to the development of high-resolution electron spectroscopy,1/2
573,1981,Physiology or Medicine,1981-10-09,1000000,3704688,,422,for his discoveries concerning the functional specialization of the cerebral hemispheres,1/2
574,1981,Physiology or Medicine,1981-10-09,1000000,3704688,,423,for their discoveries concerning information processing in the visual system,1/4
575,1981,Physiology or Medicine,1981-10-09,1000000,3704688,,424,for their discoveries concerning information processing in the visual system,1/4
576,1982,Chemistry,1982-10-18,1150000,3923237,,259,for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes,1
577,1982,Economic Sciences,1982-10-20,1150000,3923237,,696,"for his seminal studies of industrial structures, functioning of markets and causes and effects of public regulation",1
578,1982,Literature,1982-10-21,1150000,3923237,,659,"for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts",1
579,1982,Peace,1982-10-13,1150000,3923237,,543,for their work for disarmament and nuclear and weapon-free zones,1/2
580,1982,Peace,1982-10-13,1150000,3923237,,544,for their work for disarmament and nuclear and weapon-free zones,1/2
581,1982,Physics,1982-10-18,1150000,3923237,,121,for his theory for critical phenomena in connection with phase transitions,1
582,1982,Physiology or Medicine,1982-10-11,1150000,3923237,,425,for their discoveries concerning prostaglandins and related biologically active substances,1/3
583,1982,Physiology or Medicine,1982-10-11,1150000,3923237,,426,for their discoveries concerning prostaglandins and related biologically active substances,1/3
584,1982,Physiology or Medicine,1982-10-11,1150000,3923237,,427,for their discoveries concerning prostaglandins and related biologically active substances,1/3
585,1983,Chemistry,1983-10-19,1500000,4698151,,260,"for his work on the mechanisms of electron transfer reactions, especially in metal complexes",1
586,1983,Economic Sciences,1983-10-17,1500000,4698151,,697,for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium,1
587,1983,Literature,1983-10-27,1500000,4698151,,660,"for his novels which, with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today",1
588,1983,Peace,1983-10-05,1500000,4698151,,545,for non-violent struggle for free trade unions and human rights in Poland,1
589,1983,Physics,1983-10-19,1500000,4698151,,122,for his theoretical studies of the physical processes of importance to the structure and evolution of the stars,1/2
590,1983,Physics,1983-10-19,1500000,4698151,,123,for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe,1/2
591,1983,Physiology or Medicine,1983-10-10,1500000,4698151,,428,for her discovery of mobile genetic elements,1
592,1984,Chemistry,1984-10-17,1650000,4782579,,261,for his development of methodology for chemical synthesis on a solid matrix,1
593,1984,Economic Sciences,1984-10-18,1650000,4782579,,698,for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis,1
594,1984,Literature,1984-11-27,1650000,4782579,,661,"for his poetry which endowed with freshness, sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man",1
595,1984,Peace,1984-10-05,1650000,4782579,,546,for his role as a unifying leader figure in the non-violent campaign to resolve the problem of apartheid in South Africa,1
596,1984,Physics,1984-10-17,1650000,4782579,,124,"for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction",1/2
597,1984,Physics,1984-10-17,1650000,4782579,,125,"for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction",1/2
598,1984,Physiology or Medicine,1984-10-15,1650000,4782579,,429,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies,1/3
599,1984,Physiology or Medicine,1984-10-15,1650000,4782579,,430,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies,1/3
600,1984,Physiology or Medicine,1984-10-15,1650000,4782579,,431,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies,1/3
601,1985,Chemistry,1985-10-16,1800000,4860820,,262,for their outstanding achievements in the development of direct methods for the determination of crystal structures,1/2
602,1985,Chemistry,1985-10-16,1800000,4860820,,263,for their outstanding achievements in the development of direct methods for the determination of crystal structures,1/2
603,1985,Economic Sciences,1985-10-15,1800000,4860820,,699,for his pioneering analyses of saving and of financial markets,1
604,1985,Literature,1985-11-27,1800000,4860820,,662,who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition,1
605,1985,Peace,1985-10-05,1800000,4860820,,547,for spreading authoritative information and by creating awareness of the catastrophic consequences of nuclear war,1
606,1985,Physics,1985-10-16,1800000,4860820,,126,for the discovery of the quantized Hall effect,1
